Symbol	RAPdb	MSU
HDA705	Os08g0344100	LOC_Os08g25570
HDR1	Os02g0793900	LOC_Os02g55080
HDT702	Os01g0909100	LOC_Os01g68104
HEI10	Os02g0232100	LOC_Os02g13810
HGW	Os06g0160400	LOC_Os06g06530
HK1	Os06g0654300	LOC_Os06g44410
HKT2	None	None
HKT3|OsHKT2;3	Os01g0532600	LOC_Os01g34850
HL6	Os06g0657500	LOC_Os06g44750
HLL	Os10g0466700	LOC_Os10g32920
HMG2	Os09g0492700	LOC_Os09g31970
HMGB1|OsHMGB1	Os06g0728000	LOC_Os06g51220
HMGRI	Os02g0713900	LOC_Os02g48330
HN1L	Os04g0455600	LOC_Os04g38310
HOX12	Os03g0198600	LOC_Os03g10210
HSA1a	Os12g0589400	LOC_Os12g39880
HSA1b	None	LOC_Os12g39920
HSA32	Os06g0682900	LOC_Os06g46900
HSP101|OsClpB-cyt|HSP100	Os05g0519700	LOC_Os05g44340
HSP40	Os02g0100300	LOC_Os02g01030
HSP70	Os11g0703900	LOC_Os11g47760
hsp82A	Os08g0500700	LOC_Os08g39140
hsp82B	None	None
hsp82D	None	None
Hsp90|rHsp90|OSGrp94	Os06g0716700	LOC_Os06g50300
HSR201	Os12g0458100	LOC_Os12g27254
HSR203J	Os05g0410200	LOC_Os05g33940
HTD1|OsCCD7	Os04g0550600	LOC_Os04g46470
HTD2|D88|D14	Os03g0203200	LOC_Os03g10620
HTH1	Os04g0573100	LOC_Os04g48400
Hwi1	Os11g0173550	LOC_Os11g07240
HYR	Os03g0117900	LOC_Os03g02650
IAA6|OsIAA6	Os01g0741900	LOC_Os01g53880
IAI1	Os01g0329800	LOC_Os01g22630
IAI2	Os01g0132000	LOC_Os01g04050
IAMT1	Os04g0665200	LOC_Os04g56950
IBF1	Os09g0292900	LOC_Os09g12150
ICS1|OsVDAC1|OsICS1	Os09g0361500|Os09g0361400	LOC_Os09g19734
IDEF1	Os08g0101000	LOC_Os08g01090
IDEF2	Os05g0426200	LOC_Os05g35170
IF1-1	Os08g0558900	LOC_Os08g44460
IF1-2	Os09g0568900	LOC_Os09g39550
IIP4	Os04g0458200	LOC_Os04g38520
ILA1	Os06g0724900	LOC_Os06g50920
ILI1	Os04g0641700	LOC_Os04g54900
IPI1	Os01g0350900	LOC_Os01g24880
IPK1|OsIPK1	Os04g0661200	LOC_Os04g56580
IRE1|OsIRE1	Os07g0471000	LOC_Os07g28820
ISA3	Os09g0469400	LOC_Os09g29404
JAmyb|OsJAmyb	Os11g0684000	LOC_Os11g45740
JIOsPR10|OsPR10	Os03g0300400	LOC_Os03g18850
JMJ703	Os05g0196500	LOC_Os05g10770
JMJ704	Os05g0302300	LOC_Os05g23670
JMJ705	Os01g0907400	LOC_Os01g67970
JMJ706|OsJMJ706	Os10g0577600	LOC_Os10g42690
K16	Os02g0775400	LOC_Os02g53520
Kala4|OsS1	Os04g0557500	LOC_Os04g47059
KAO	Os06g0110000	LOC_Os06g02019
KAR	Os12g0242700	LOC_Os12g13930
KOB1	Os02g0817500	LOC_Os02g57240
KRP1	Os02g0762400	LOC_Os02g52480
KRP3	Os11g0614800	LOC_Os11g40030
KS2|OsKS2|OsKSL2	Os04g0612000	LOC_Os04g52240
L-2	Os03g0738600	LOC_Os03g52860
LA1|LAZY1	Os11g0490600	LOC_Os11g29840
LABA1|OsLOGL6|An-2	Os04g0518800	LOC_Os04g43840
LAR	Os03g0259400	LOC_Os03g15360
LAS	Os02g0538000	LOC_Os02g33500
LAX1	Os01g0831000	LOC_Os01g61480
LBD12-1	Os12g0106200	LOC_Os12g01550
LC2|OsVIL3	Os02g0152500	LOC_Os02g05840
LGD1	Os09g0502100	LOC_Os09g32540
Lhca4|DYE1	Os08g0435900	LOC_Os08g33820
LHCB|LHCPII	Os03g0592500	LOC_Os03g39610
LIC|OsLIC1	Os06g0704300	LOC_Os06g49080
LIL1	Os07g0488400	LOC_Os07g30510
LIP19|OsbZIP38	Os05g0129300	LOC_Os05g03860
Lir1|OsLIR1	Os01g0102900	LOC_Os01g01340
LMM5.1|SPL33	Os01g0116600	LOC_Os01g02720
LMM5.4	Os04g0595300	None
LOG	Os01g0588900	LOC_Os01g40630
LP2	Os02g0615800	LOC_Os02g40240
LPA1	Os03g0237250	LOC_Os03g13400
LPL2	Os03g0143800|Os03g0143851	LOC_Os03g05020
LPL3	Os08g0544500	LOC_Os08g43130
LRD6-6|LMR	Os06g0130000	LOC_Os06g03940
LRK1	Os02g0154200	LOC_Os02g05980
LRK2	Os02g0154000	LOC_Os02g05970
Lsi1|OsNIP2;1|OsLsi1	Os02g0745100	LOC_Os02g51110
Lsi2|OsLsi2	Os03g0107300	LOC_Os03g01700
Lsi3	Os10g0547500	LOC_Os10g39980
Lsi6	Os06g0228200	LOC_Os06g12310
LTN1|OsPHO2	Os05g0557700	LOC_Os05g48390
Ltp1	Os03g0103100	LOC_Os03g01300
LTP2|nsLTP2	Os03g0111300	LOC_Os03g02050
LYL1|OsChlP|OsGGR	Os02g0744900	LOC_Os02g51080
LYP4|OsLYP4	Os09g0452200	LOC_Os09g27890
LYP6|OsLYP6	Os06g0208800	LOC_Os06g10660
MAIF1	Os02g0671100	LOC_Os02g44990
MAP	Os08g0518100	LOC_Os08g40620
MAS	Os04g0179200	LOC_Os04g10010
MEICA1	Os03g0144000	LOC_Os03g05040
MEL1	Os03g0800200	LOC_Os03g58600
MEL2	Os12g0572800	LOC_Os12g38460
MER3|RCK	Os02g0617500	LOC_Os02g40450
MetRS|MRS	Os06g0508700	LOC_Os06g31210
MFP|AIM1	Os02g0274100	LOC_Os02g17390
MFS1	Os05g0497200	LOC_Os05g41760
MHZ3	Os06g0115200	LOC_Os06g02480
MHZ4	Os01g0128300	LOC_Os01g03750
MID1|OsARM1	Os05g0442400	LOC_Os05g37060
MIR	Os12g0282000	LOC_Os12g18410
miR169o	None	None
MIT	Os03g0296800	LOC_Os03g18550
MKB3	Os03g0733600	LOC_Os03g52320
MKRN	Os06g0318700	LOC_Os06g21390
MLO	Os06g0486300	LOC_Os06g29110
